,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1710,KINS,"Kingstone Companies, Inc",19.2,$204.03M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kins,
1711,KONE,Kingtone Wirelessinfo Solution Holding Ltd,3.819,$5.37M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/kone,
1712,KNSL,"Kinsale Capital Group, Inc.",42.02,$883.68M,2016,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/knsl,
1713,KIRK,"Kirkland&#39;s, Inc.",11.59,$185.57M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/kirk,
1714,KTOV,Kitov Pharmaceuticals Holdings Ltd.,2.41,$27.02M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ktov,
1715,KTOVW,Kitov Pharmaceuticals Holdings Ltd.,0.7009,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ktovw,
1716,KLAC,KLA-Tencor Corporation,104.39,$16.36B,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac,
1717,KLXI,KLX Inc.,54.25,$2.79B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/klxi,
1718,KONA,"Kona Grill, Inc.",2,$20.21M,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/kona,
1719,KOPN,Kopin Corporation,3.32,$250.12M,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn,
1720,KRNT,Kornit Digital Ltd.,15.5,$522.89M,2015,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/krnt,
1721,KOSS,Koss Corporation,1.65,$12.18M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/koss,
1722,KWEB,KraneShares Trust KraneShares CSI China Internet ETF,59.35,$201.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kweb,
1723,KTOS,"Kratos Defense & Security Solutions, Inc.",10.3,$1.06B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ktos,
1724,KRYS,"Krystal Biotech, Inc.",10.5,$107.49M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/krys,
1725,KLIC,"Kulicke and Soffa Industries, Inc.",26.59,$1.88B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/klic,
1726,KURA,"Kura Oncology, Inc.",16.65,$503.09M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kura,
1727,KVHI,"KVH Industries, Inc.",10.825,$185.22M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/kvhi,
1728,FSTR,L.B. Foster Company,21.85,$225.94M,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/fstr,
1729,LJPC,La Jolla Pharmaceutical Company,33.42,$740.09M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc,
1730,LSBK,"Lake Shore Bancorp, Inc.",16.47,$100.43M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lsbk,
1731,LBAI,"Lakeland Bancorp, Inc.",19.95,$944.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lbai,
1732,LKFN,Lakeland Financial Corporation,48.83,$1.23B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn,
1733,LAKE,"Lakeland Industries, Inc.",14.2,$114.06M,1986,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/lake,
1734,LRCX,Lam Research Corporation,210.91,$34.16B,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx,
1735,LAMR,Lamar Advertising Company,74.9,$7.37B,1996,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lamr,
